views,likes,media,comments,url,caption
na,136,image,9,https://www.instagram.com/p/BcFiJPDA4y_/?taken-by=vodafoneuk,We've challenged three of the best urban photographers to #GoDiscover some of UK's hidden gems using the power of our most reliable network ever and the Samsung #GalaxyS8. Here's @ecolephoto's first shot 👌
na,77,image,2,https://www.instagram.com/p/BcHmLGXAkrB/?taken-by=vodafoneuk,These amazing pics of some wavy caves on the cliffs of #Portsmouth we're taken by the super-talented @vincentchapters with the Samsung #GalaxyS8 #GoDiscover
na,122,image,4,https://www.instagram.com/p/BcKe40kA2w1/?taken-by=vodafoneuk,"We sent @rontimehin to #GoDiscover one of London's #hiddengems, St Dunstan-in-the-East. Here's his first shot taken on the Samsung #GalaxyS8"
na,123,image,7,https://www.instagram.com/p/BcRkk7XgkKD/?taken-by=vodafoneuk,"Fancy getting your hands on a Samsung #GalaxyS8, Gear VR and Gear 360 camera? We want to see your best scenic snaps! Make sure you put @vodafoneuk and #GoDiscover in the caption to enter. Here’s some inspiration from @EColephoto, he captured this #hiddengem in Dungeness. Ts&Cs in bio"
na,61,image,9,https://www.instagram.com/p/BcU7_VyA9fS/?taken-by=vodafoneuk,"Want to #win a Samsung #GalaxyS8, Gear 360 camera and Gear VR so you can take amazing pics like @vincentchapters? Share your best pic using #GoDiscover and @VodafoneUK in the caption to enter. Ts&Cs in the bio."
na,63,image,3,https://www.instagram.com/p/BcXlTTwgMRP/?taken-by=vodafoneuk,"Love discovering new places like @rontimehin? Share your best pic with us for a chance to #win a Samsung #GalaxyS8, Gear 360 and Gear VR. Make sure you use #GoDiscover and @vodafoneuk in your caption. Ts&Cs in bio."
na,84,image,10,https://www.instagram.com/p/BcZQ1muA8nG/?taken-by=vodafoneuk,"Got any good shots of some hidden gems that are off the beaten track? We love this one from @ecolephoto 👌 Share your best pic using #GoDiscover and @VodafoneUK in the caption, to be in with a chance of winning the ultimate photography bundle including a #GalaxyS8! Ts&Cs in the bio"
na,71,image,8,https://www.instagram.com/p/Bcb2lPbgR30/?taken-by=vodafoneuk,"Share your best #GoDiscover pic for a chance to #win a Samsung #GalaxyS8, Gear VR and Gear 360! Here's a shot from @vincentchapters to get you going. Ts&Cs in the bio"
na,92,image,14,https://www.instagram.com/p/Bccn6IYgudh/?taken-by=vodafoneuk,"You've only got until 9am on Monday to enter our #GoDiscover prize draw to #win a #GalaxyS8, Gear VR and Gear 360. @Ronetimehin has been snapping some hidden gems but now it's your turn to get out and explore this weekend! Send us your best pic using #GoDiscover and @vodafoneuk to be in the hat! Ts&Cs in bio"
na,79,image,39,https://www.instagram.com/p/BckXbMlgPMA/?taken-by=vodafoneuk,Congratulations @paperwrist you've won our #GoDiscover prize draw 🎉 Please DM us to claim your prize. Thanks for all your amazing entries and keep your eyes peeled for more chances to #win soon!
